,FilePath,%NaN,NuberOfFrozen_Signal,TimestampDrops,MaxTimestampDrops,JumpsInVelocity
97,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\10\TRIAL_220617_120550_00563_FBl_26_AUTOSAVE.trial,3.3783783783783785,62,134,40.0,0.0
98,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\10\TRIAL_220617_120651_00565_FBl_26_AUTOSAVE.trial,0.20270270270270271,72,9,20.0,0.0
99,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\20\TRIAL_220617_120751_00567_FBl_26_AUTOSAVE.trial,3.7162162162162162,51,160,30.0,0.0
100,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\20\TRIAL_220617_120850_00569_FBl_26_AUTOSAVE.trial,0.15765765765765766,25,7,20.0,0.0
101,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\20\TRIAL_220617_120955_00571_FBl_26_AUTOSAVE.trial,2.0045045045045047,104,87,30.0,0.0
102,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\30\TRIAL_220617_121102_00573_FBl_26_AUTOSAVE.trial,5.518018018018018,107,216,40.0,0.0
103,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\30\TRIAL_220617_121157_00575_FBl_26_AUTOSAVE.trial,1.2837837837837838,32,57,20.0,0.0
104,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\30\TRIAL_220617_121257_00577_FBl_26_AUTOSAVE.trial,0.8108108108108109,77,36,20.0,0.0
105,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\50\TRIAL_220617_121403_00579_FBl_26_AUTOSAVE.trial,3.6269430051813467,99,142,40.0,0.0
106,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\50\TRIAL_220617_121500_00581_FBl_26_AUTOSAVE.trial,5.045045045045045,69,209,40.0,0.0
107,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\50\TRIAL_220617_121556_00583_FBl_26_AUTOSAVE.trial,0.36036036036036034,68,16,20.0,0.0
108,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\80\TRIAL_220617_121718_00585_FBl_26_AUTOSAVE.trial,4.2792792792792795,140,172,50.0,0.0
109,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\80\TRIAL_220617_121817_00587_FBl_26_AUTOSAVE.trial,5.563063063063063,67,225,50.0,0.0
110,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220617\ccrs\50\80\TRIAL_220617_121922_00589_FBl_26_AUTOSAVE.trial,0.2927927927927928,94,13,20.0,0.0
111,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\12 -2\TRIAL_220621_100109_00714_FBl_26_AUTOSAVE.trial,1.9364092756394933,43,78,30.0,0.0
112,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\12 -2\TRIAL_220621_100421_00716_FBl_26_AUTOSAVE.trial,3.036098493903897,36,124,30.0,0.0
113,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\12 -2\TRIAL_220621_100753_00719_FBl_26_AUTOSAVE.trial,0.9801577814965335,97,39,30.0,0.0
114,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\12 -6\TRIAL_220621_101052_00721_FBl_26_AUTOSAVE.trial,1.9333502925464259,82,73,30.0,0.0
115,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\12 -6\TRIAL_220621_101234_00723_FBl_26_AUTOSAVE.trial,0.7886034088018317,120,27,40.0,0.0
116,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\12 -6\TRIAL_220621_101420_00725_FBl_26_AUTOSAVE.trial,2.950903078097176,24,109,40.0,0.0
117,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\40 -2\TRIAL_220621_101715_00728_FBl_26_AUTOSAVE.trial,8.25120330048132,52,301,60.0,0.0
118,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\40 -2\TRIAL_220621_101917_00731_FBl_26_AUTOSAVE.trial,2.0398808159523263,3,85,40.0,0.0
119,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\40 -2\TRIAL_220621_102130_00734_FBl_26_AUTOSAVE.trial,1.8794407517763008,18,81,30.0,0.0
120,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\40 -6\TRIAL_220621_102502_00736_FBl_26_AUTOSAVE.trial,1.3986013986013985,46,53,50.0,0.0
121,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\40 -6\TRIAL_220621_102649_00738_FBl_26_AUTOSAVE.trial,1.6879672052085843,80,62,40.0,0.0
122,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrb\40 -6\TRIAL_220621_102830_00740_FBl_26_AUTOSAVE.trial,3.400048227634435,54,131,40.0,0.0
123,C:\Users\aismail2\Downloads\4a_nasta-20220627T102722Z-001\4a_nasta\20220621\ccrm\50\30\TRIAL_220621_094135_00690_FBl_26_AUTOSAVE.trial,7.217537942664418,14,189,50.0,0.0
