,index,Name.1,Timestamp[ms].1,Date[MM.dd.yyyy].1,Time[hh:mm:ss.fff].1,Gpstime[ms].1,GnssStatus.1,Lat[wgs84].1,Lng[wgs84].1,Height[m].1,Heading[°].1,Velocity[m/s].1,Velocity[km/h].1,Acceleration[m/s²].1,North[m].1,East[m].1,Distance[m],YawRate[deg/s],vY[m/s],Lateral Distance[m],Forward Distance[m],GeoDistance[m],DistanceFromOrigin[m],Velocity_Status,Velocity_
2324,2337,FBl_26,35720940.0,16.06.2022,09:55:20.940,1339408520940.0,INS_SOLUTION_GOOD,50.2357049449086,14.9297260603905,199.697509765625,277.466857910156,0.0481698965569976,0.173411627605191,0.230896204702653,-4.12177137277047,40.1712973330093,0.238558474485174,0.122711375355721,0.00027090510905,0.237938605918901,-0.0171862072871613,0.238558474818119,0.238502329788716,Failed,153.7572197004528
2325,2338,FBl_26,35720950.0,16.06.2022,09:55:20.950,1339408520950.0,INS_SOLUTION_GOOD,50.235704944551,14.92972605443,199.697677612305,277.466949462891,0.0501795780080569,0.180646480829005,0.275708170224696,-4.12181115372165,40.1708720862809,0.238524314315131,-0.0298461280763149,-0.0021381771269987,0.237850493337962,-0.0179162354167697,0.2385243146361,0.238443531137171,Failed,161.1856158223721
2326,2339,FBl_26,35720960.0,16.06.2022,09:55:20.960,1339408520960.0,INS_SOLUTION_GOOD,50.235704944253,14.9297260481715,199.697860717773,277.466934204102,0.0523421483129075,0.188431733926467,0.179286055768372,-4.12184430404259,40.1704255773636,0.238496355220756,0.0801501199603081,-0.0006225684378614,0.237766552958136,-0.0186434410801718,0.238496355529605,0.238391208359113,Failed,167.13970823641023
2327,2340,FBl_26,35720970.0,16.06.2022,09:55:20.970,1339408520970.0,INS_SOLUTION_GOOD,50.2357049440146,14.9297260416746,199.698043823242,277.467178344727,0.0539011793906529,0.19404424580635,0.289194219704294,-4.12187082373328,40.1699620584229,0.23847540033772,0.0233949385583401,-0.0007285436850199,0.237687313571816,-0.01937156872,0.238475400634238,0.238345656350281,Failed,174.66813536445608
2328,2341,FBl_26,35720980.0,16.06.2022,09:55:20.980,1339408520980.0,INS_SOLUTION_GOOD,50.2357049438357,14.9297260348797,199.698226928711,277.467147827148,0.0560684438685736,0.201846397926865,0.220369645554149,-4.12189071491644,40.1694772770664,0.23846062067565,-0.0031617332715541,-0.0009239896159072,0.237612094999825,-0.0200987576302161,0.238460620959697,0.238306816610629,Failed,182.42573520151484
2329,2342,FBl_26,35720990.0,16.06.2022,09:55:20.990,1339408520990.0,INS_SOLUTION_GOOD,50.2357049435973,14.9297260277867,199.69841003418,277.467079162598,0.0580482387813531,0.208973659612871,0.152834208005799,-4.12191723389957,40.168971233294,0.238439003130194,0.0216712970286608,-0.0010531929456453,0.237527998827692,-0.0208232590166658,0.238439003401632,0.238261563337037,Failed,188.35970655379336
2330,2343,FBl_26,35721000.0,16.06.2022,09:55:21.000,1339408521000.0,INS_SOLUTION_GOOD,50.2357049434781,14.9297260204554,199.698593139648,277.46736907959,0.0595313682399892,0.214312925663961,0.228640514266624,-4.12193049445248,40.168448179952,0.238430880829543,0.0169804934412241,-0.00049223498791,0.237455011442811,-0.0215500022545366,0.23843088108816,0.238230058963732,Failed,192.90671622301736
2331,2344,FBl_26,35721010.0,16.06.2022,09:55:21.010,1339408521010.0,INS_SOLUTION_GOOD,50.2357049434185,14.9297260129452,199.698776245117,277.467613220215,0.0617974437862908,0.222470797630647,0.348340641068518,-4.12193712437516,40.167912368979,0.23843064922538,0.0660302862524986,0.0001917070883155,0.237387260048605,-0.022281458069981,0.238430649470886,0.238205922265895,Failed,203.62213436557698
2332,2345,FBl_26,35721020.0,16.06.2022,09:55:21.020,1339408521020.0,INS_SOLUTION_GOOD,50.2357049433589,14.9297260050178,199.698959350586,277.468048095703,0.0644717250582873,0.232098210209834,0.317340344820703,-4.1219437550054,40.1673467908053,0.23842830023834,0.0819317772984505,3.29688117155016e-05,0.23731597680088,-0.0230039479311033,0.238428300470756,0.238182115210291,Failed,212.80685567618355
2333,2346,FBl_26,35721030.0,16.06.2022,09:55:21.030,1339408521030.0,INS_SOLUTION_GOOD,50.2357049432993,14.9297259967327,199.699157714844,277.468238830566,0.0668845446816417,0.24078436085391,0.141112147975007,-4.1219503842205,40.1667556978234,0.238424665897131,0.0551507063210011,-0.0001439993785935,0.23724195410492,-0.0237186977972821,0.238424666116406,0.238158973386426,Failed,218.9170002600349
2334,2347,FBl_26,35721040.0,16.06.2022,09:55:21.040,1339408521040.0,INS_SOLUTION_GOOD,50.2357049432993,14.9297259882092,199.699340820313,277.468948364258,0.0690489078550298,0.248576068278107,0.193380978015028,-4.1219503842205,40.1661475950449,0.238427979439591,0.0381677150726318,-0.0002124295574956,0.23717245513911,-0.0244362026741064,0.238427979645517,0.238143509171385,Failed,229.64559332764242
2335,2348,FBl_26,35721050.0,16.06.2022,09:55:21.050,1339408521050.0,INS_SOLUTION_GOOD,50.2357049433589,14.9297259792686,199.69953918457,277.469139099121,0.0717749365113996,0.258389771441039,0.297999761902674,-4.1219437550054,40.1655097250659,0.238435471933557,-0.0121893854811788,-0.0005297105822202,0.23710615810807,-0.0251424771107123,0.238435472126175,0.238135580058585,Failed,238.8304525120599
2336,2349,FBl_26,35721060.0,16.06.2022,09:55:21.060,1339408521060.0,INS_SOLUTION_GOOD,50.2357049434185,14.9297259699702,199.69970703125,277.469200134277,0.0744574968448782,0.268046988641561,0.368627710443739,-4.12193712437516,40.1648463402785,0.238441527637105,0.0305319335311651,-0.0004452381153455,0.23703697122795,-0.0258425319674266,0.238441527816376,0.238128888359139,Failed,249.58044669261494
2337,2350,FBl_26,35721070.0,16.06.2022,09:55:21.070,1339408521070.0,INS_SOLUTION_GOOD,50.2357049435377,14.9297259602547,199.699905395508,277.469650268555,0.077326428083974,0.278375141102306,0.391913956382486,-4.12192386523738,40.1641531880637,0.238451591755083,-0.0054623084142804,-0.0004097811769382,0.236970930312364,-0.0265318653053353,0.23845159192106,0.23813019856723,Failed,260.34956796711845
2338,2351,FBl_26,35721080.0,16.06.2022,09:55:21.080,1339408521080.0,INS_SOLUTION_GOOD,50.2357049437165,14.9297259501219,199.700088500977,277.470092773438,0.0806311616399631,0.290272181903867,0.370909179696441,-4.12190397405422,40.1634302684212,0.238465573731503,0.0510691739618778,0.0002685941514035,0.236908093695275,-0.0272100178172138,0.238465573884245,0.238139777291456,Failed,271.0617710840823
2339,2352,FBl_26,35721090.0,16.06.2022,09:55:21.090,1339408521090.0,INS_SOLUTION_GOOD,50.2357049438953,14.9297259395719,199.700271606445,277.470275878906,0.0835344746390533,0.300724108700592,0.362790277734773,-4.1218840842862,40.1626775818051,0.2384769187312,0.0114473970606923,-0.0003406848122912,0.236841892035981,-0.0278775718260268,0.238476918870776,0.238151263230304,Failed,281.7743724941535
2340,2353,FBl_26,35721100.0,16.06.2022,09:55:21.100,1339408521100.0,INS_SOLUTION_GOOD,50.2357049440742,14.9297259286046,199.700469970703,277.470199584961,0.0871520383100118,0.313747337916043,0.410855384558586,-4.12186419381061,40.1618951279883,0.238485541590525,0.0255970992147923,-0.0006454788636078,0.236772306744074,-0.0285346870868757,0.23848554171701,0.238164937979694,Failed,295.5000109298212
2341,2354,FBl_26,35721110.0,16.06.2022,09:55:21.110,1339408521110.0,INS_SOLUTION_GOOD,50.2357049441934,14.9297259171009,199.700668334961,277.470115661621,0.0906890307915373,0.326480510849534,0.378481918752907,-4.12185093396526,40.1610744017322,0.238482922587356,0.0094468733295798,-0.0011720069985587,0.236691633393864,-0.0291749053359059,0.238482922701007,0.238174445662022,Failed,307.85657596978444
2342,2355,FBl_26,35721120.0,16.06.2022,09:55:21.120,1339408521120.0,INS_SOLUTION_GOOD,50.2357049444318,14.9297259051204,199.70085144043,277.470222473145,0.0945490752556336,0.340376670920281,0.228452969254094,-4.12182441427457,40.1602196558831,0.238489257943366,0.0061889230273664,-0.0012575439419012,0.236620351415299,-0.0297982465700827,0.238489258044364,0.238200061164179,Failed,323.1585901186269
